Name,'10,'100,'1000,'10000,'100000
Persistent Hash Map (C#),0,0,0,0,0
Persistent Hash Map (F#),0,0,0,0,0
FSharpx.Collections,0,0,0,0,0
Prime.HMap,0,0,0,0,0
Imms.ImmMap,0,0,0,0,0
ImTools.ImHashMap (C#),0,0,0,0,0
System.Collections.Immutable,0,0,0,0,0
Map (F#),0,0,0,0,0
